,Condition,Method,replicate,Quartet Type,Branch Type,l-true,l-est,log10(l-true),log10(l-est),|l-true - l-est|,log10(l-est/l-true)
34,no_variation,CASTLES (Taylor 33),007,balanced,terminal,0.10928223,0.14238158994267736,-0.9614504514113231,-0.8465461617047066,0.03309935994267736,0.11490428970661647
35,no_variation,CASTLES (Taylor 33),008,unbalanced,terminal,0.06285867,0.06566918855194792,-1.2016348122743983,-1.182638350083483,0.002810518551947916,0.018996462190915078
36,no_variation,CASTLES (Taylor 33),008,unbalanced,terminal,0.04730085,0.05461110894422183,-1.32513105488602,-1.2627190045033427,0.007310258944221833,0.06241205038267726
37,no_variation,CASTLES (Taylor 33),008,unbalanced,terminal,0.0479757,0.056242393408298966,-1.3189786798771288,-1.2499362060910066,0.008266693408298963,0.0690424737861222
38,no_variation,CASTLES (Taylor 33),008,unbalanced,internal,0.01542092,0.00595390464589559,-1.8118897158437735,-2.225198125029063,0.00946701535410441,-0.4133084091852893
39,no_variation,CASTLES (Taylor 33),008,unbalanced,terminal,0.12659508,0.13448270753246955,-0.8975831724416606,-0.871333555855214,0.007887627532469549,0.02624961658644673
40,no_variation,CASTLES (Taylor 33),009,balanced,terminal,0.0584859,0.09246463539353009,-1.2329488226405543,-1.0340243385058736,0.033978735393530086,0.19892448413468067
41,no_variation,CASTLES (Taylor 33),009,balanced,terminal,0.05900031,0.09385216609013922,-1.2291457064775897,-1.02755569949294,0.034851856090139216,0.20159000698464957
42,no_variation,CASTLES (Taylor 33),009,balanced,internal,0.25505759,0.18588618655357006,-0.5933617482117137,-0.7307528820218383,0.06917140344642994,-0.1373911338101247
43,no_variation,CASTLES (Taylor 33),009,balanced,terminal,0.20730074,0.2600710992022208,-0.6833991476054011,-0.5849079067598065,0.05277035920222081,0.09849124084559457
44,no_variation,CASTLES (Taylor 33),009,balanced,terminal,0.20839333,0.26463665476882525,-0.6811161855191136,-0.5773500019424742,0.056243324768825265,0.10376618357663936
45,no_variation,CASTLES (Taylor 33),010,balanced,terminal,0.10417753,0.12990760364839238,-0.9822259436981661,-0.8863654284042952,0.025730073648392374,0.09586051529387081
