,Condition,Method,replicate,RMSE,Log Error,#Negative Branches,RMSE (terminal),Log Error (terminal),#Negative Branches (terminal),RMSE (internal),Log Error (internal),#Negative Branches (internal)
41,no_variation,CASTLES (Integrals),042,0.0010493159033561777,0.04767248230811392,0,0.0009889099973030024,0.0652290935366955,0,0.0011607349523370639,0.012559259850950756,0
42,no_variation,CASTLES (Integrals),043,0.0067196592080543995,0.04024893663583733,0,0.008136339674199272,0.05859775097975701,0,0.001749689409373159,0.0035513079479979797,0
43,no_variation,CASTLES (Integrals),044,0.009483437412420042,0.06003678484046256,0,0.0029044492538049644,0.07844020722167111,0,0.015903933618133848,0.023229940078045484,0
44,no_variation,CASTLES (Integrals),045,0.017490798620002516,0.07909782471753184,0,0.017650879574490578,0.10947800063921526,0,0.01716615884786427,0.018337472874165015,0
45,no_variation,CASTLES (Integrals),046,0.010105586050135108,0.03706114225686257,0,0.012375642035293958,0.05501739995085311,0,0.0002357470648520809,0.0011486268688814915,0
46,no_variation,CASTLES (Integrals),047,0.024415051884708276,0.06814426733802956,0,0.029841144472878642,0.06494654147798193,0,0.0027011976411511454,0.07453971905812483,0
47,no_variation,CASTLES (Integrals),048,0.05091577937002919,0.07234295623120592,0,0.060776231169626514,0.05388281491269417,0,0.019742067171517448,0.1092632388682294,0
48,no_variation,CASTLES (Integrals),049,0.0013779405774696691,0.053354606685929784,0,0.0016028203422959859,0.07881035777052202,0,0.0007470572975058159,0.0024431045167453242,0
49,no_variation,CASTLES (Integrals),050,0.026537891883168536,0.248832431968207,0,0.031244969022901418,0.10818245856969302,0,0.012660289819908903,0.530132378765235,0
50,no_variation,CASTLES (Integrals),051,0.0034715711672243053,0.047229370413965126,0,0.0040620551277166005,0.045217099307233714,0,0.0017761856282753588,0.05125391262742794,0
51,no_variation,CASTLES (Integrals),052,0.00936789202517199,0.02232725412595518,2,0.010853241606295567,0.03260636904638066,2,0.005261795915520913,0.01204813920552971,0
52,no_variation,CASTLES (Integrals),053,0.0046949526971273945,0.028135749744722466,0,0.0057470770910831885,0.041316159072815356,0,0.00026448497704973614,0.0017749310885366832,0
53,no_variation,CASTLES (Integrals),054,0.0032810477906854625,0.01922865178425414,0,0.002948471970604616,0.01684952284288003,0,0.0038611979865585395,0.023986909667002364,0
54,no_variation,CASTLES (Integrals),055,0.004795253104184182,0.013720865737788503,0,0.005736247739050938,0.016655673628717484,0,0.0017816511308418647,0.007851249955930539,0
55,no_variation,CASTLES (Integrals),056,0.003415246313873121,0.03784659336427989,0,0.0034348876635577528,0.025461406413354655,0,0.003375620777094096,0.06261696726613036,0
56,no_variation,CASTLES (Integrals),057,0.006693426766713716,0.05186898318236974,0,0.0060324803819168955,0.06677667245582013,0,0.007850111243011429,0.022053604635468967,0
57,no_variation,CASTLES (Integrals),058,0.0050395383677346115,0.02211970391844484,0,0.006171126600619106,0.03125842590150972,0,0.00015885162218314875,0.003842259952315071,0
58,no_variation,CASTLES (Integrals),059,0.0026432541123608357,0.006687716425073097,0,0.0030528563883401427,0.005583664873761051,0,0.0015233228981010472,0.008895819527697192,0
59,no_variation,CASTLES (Integrals),060,0.008170479355897238,0.04711377111317271,0,0.009978299820631482,0.06788408429447959,0,0.0010664258504932494,0.005573144750558948,0
60,no_variation,CASTLES (Integrals),061,0.01117729473334738,0.0469199421984454,0,0.011857281743864547,0.04007212874764392,0,0.009674993124626925,0.06061556910004836,0
61,no_variation,CASTLES (Integrals),062,0.0030954846205381585,0.03378094083631,0,0.0036681278920754185,0.04761784726607416,0,0.0013548987573695306,0.006107127976781696,0
62,no_variation,CASTLES (Integrals),063,0.0017396024370920943,0.07290738957784244,0,0.001996135635122184,0.10655473530416372,0,0.0010533446585999145,0.005612698125199905,0
63,no_variation,CASTLES (Integrals),064,0.003875524008806639,0.03940658457121179,0,0.004738398835246512,0.05846382937412124,0,0.0003926983381414275,0.0012920949653928667,0
64,no_variation,CASTLES (Integrals),065,0.017124074227217324,0.1865822585757142,0,0.019816419738582905,0.15606220858767145,0,0.009711888174106476,0.24762235855179987,0
65,no_variation,CASTLES (Integrals),066,0.0028132591993491577,0.012621735274163654,0,0.003419512607092204,0.016954598876314897,0,0.0005976194675903256,0.003956008069861166,0
66,no_variation,CASTLES (Integrals),067,0.0019136116990581312,0.02267838990455334,0,0.002216709324297164,0.031244983186738774,0,0.001076163903624566,0.0055452033401824615,0
67,no_variation,CASTLES (Integrals),068,0.006166645327106473,0.05316731838196533,0,0.007458103949072277,0.07313122319524332,0,0.0016840174407164908,0.013239508755409364,0
68,no_variation,CASTLES (Integrals),069,0.009687301883926877,0.03150488071467667,0,0.0021892009859748466,0.041338819635919115,0,0.016490792929905254,0.011837002872191794,0
69,no_variation,CASTLES (Integrals),070,0.003326790792489132,0.025190346877065534,0,0.003935219867468349,0.03667842064018518,0,0.0014935528515376292,0.0022141993508262513,0
70,no_variation,CASTLES (Integrals),071,0.0034773307386630125,0.010058184634429838,0,0.004193901019165262,0.012860918455587782,0,0.0010477956294245108,0.00445271699211395,0
71,no_variation,CASTLES (Integrals),072,0.02709169349655084,0.02294798711727454,0,0.03305676589758087,0.0314110299746406,0,0.004047224520363662,0.006021901402542426,0
72,no_variation,CASTLES (Integrals),073,0.007556577289623414,0.08901308249340484,0,0.009228287080817072,0.1320787038198422,0,0.0009914716890594727,0.0028818398405300576,0
73,no_variation,CASTLES (Integrals),074,0.009030936561549536,0.059815053937526765,0,0.008292632835354603,0.03128511336342714,0,0.010350745231730601,0.11687493508572604,0
74,no_variation,CASTLES (Integrals),075,0.0016762924879565855,0.026957788510752135,0,0.001618600808441152,0.037538088730039804,0,0.001786094163633692,0.0057971880721767914,0
75,no_variation,CASTLES (Integrals),076,0.00857340440485893,0.054763156705399836,0,0.010409197763308136,0.07662067316641445,0,0.0019511517410097446,0.011048123783370608,0
76,no_variation,CASTLES (Integrals),077,0.008223736211359045,0.1611210084094763,0,0.009254583759060565,0.23684222950907405,0,0.005620931481090917,0.00967856621028079,0
77,no_variation,CASTLES (Integrals),078,0.006610799479501612,0.05177389285848801,0,0.00704723732616828,0.07366767618767656,0,0.005637455224820632,0.007986326200110897,0
78,no_variation,CASTLES (Integrals),079,0.014449078302366039,0.042180329877536164,0,0.01634086788132117,0.04490710672835011,0,0.00960623053721529,0.036726776175908256,0
79,no_variation,CASTLES (Integrals),080,0.01895418428935947,0.04110912651454678,0,0.023179193750968996,0.06085727975798467,0,0.0017981268962683483,0.0016128200276710244,0
80,no_variation,CASTLES (Integrals),081,0.006439125153351991,0.028698315853275324,0,0.007562886949051072,0.04061106715089147,0,0.003161088453893197,0.004872813258043025,0
81,no_variation,CASTLES (Integrals),082,0.015191643262561623,0.039639045914445795,0,0.01856740729235797,0.05795218434606132,0,0.0016914041297649768,0.0030127690512147306,0
82,no_variation,CASTLES (Integrals),083,0.0022736548210975445,0.029028041178351685,0,0.0023039569725041664,0.03655640973007285,0,0.002211805433169743,0.013971304074909357,0
