,Branch Type,CASTLES,ERaBLE,Naive,Patristic(AVG)+FastME,Patristic(MIN)+FastME,Concat+RAxML
41,terminal,0.0019978533594290845,0.101480544946,0.09544484610312823,0.10167094,0.03444335,0.09526643878555492
42,terminal,0.03613606950512806,0.0384008102412,0.03754037115844824,0.03757663,0.00366449,0.036155689366615
43,terminal,0.04180203452026583,0.0447715090289,0.043186047485804895,0.04323187,0.00698443,0.04306250651962397
44,internal,0.10035626972372029,0.104275621341,0.02341335030184594,0.101896,0.04553921,0.09666260314599073
45,internal,0.002853118834398791,0.00595870529386,0.009364123403557785,0.00629908,2.377e-05,0.009759535155461253
46,internal,0.003968938640198336,0.00222627732288,0.0012298522925482513,0.00143173,0.00382197,0.0025874171623310673
47,internal,0.005748830601914325,0.00978254050366,0.026249579758243786,0.01038925,0.00096359,0.01008280340585316
48,internal,0.0025624455909914142,0.00498466808585,0.008527911999466856,0.00483805,-0.00148226,0.00473963644340616
49,internal,0.00024281095993263852,0.000542769883383,0.0004743272620602672,0.00032011,0.00255411,0.001508794013644276
50,terminal,0.05702229701743389,0.0618032851223,0.059553051718254445,0.06080517,0.01240864,0.05928377641628049
51,terminal,0.03618360106784642,0.0411905160208,0.04026934672454818,0.04128902,0.00394688,0.0387597658820274
52,internal,0.0074281208169712475,0.0147276255442,0.027100864606626276,0.01477878,0.01165993,0.015343571776593625
53,terminal,0.07658034506014984,0.0671337773325,0.0635919131115579,0.06681725,0.01828705,0.06254504510295852
54,terminal,0.02919456235159202,0.0308547398586,0.03025035784551674,0.0305907,0.00994939,0.029141843836457314
55,terminal,0.045786551278302966,0.0257366155756,0.024392470504366916,0.02493037,0.00173956,0.021554328368018766
56,terminal,0.008153740350464914,0.00923603869519,0.008645500522092946,0.00912997,0.00223182,0.008221070180953978
57,terminal,0.0022367146286985788,0.00398293415852,0.0033883002871478445,0.00387317,-0.0007095,0.003813654927716612
58,terminal,0.0024459882050599934,0.00344162495872,0.0030399140413177113,0.00343056,0.00032688,0.0030016232943416215
59,terminal,0.0021247440979266573,0.00310270782644,0.0026465677780598755,0.00299544,-0.00032352,0.0027988748252625365
60,internal,0.0002920191228806575,0.000662868979816,0.0009513304445801597,0.0006392,0.00071187,0.0007529401831059262
61,internal,0.0031251238079191036,0.00320760896725,0.013237722539206027,0.00315073,1.956e-05,0.003278540793284006
62,internal,0.003309360507588999,0.0048252084362,0.0188699261588782,0.00488754,0.00101937,0.004634411262670973
63,internal,0.0028597966593384917,0.00732566527563,0.016360989967041866,0.00720188,0.00282086,0.007107549694920248
64,internal,0.005515799961151572,0.025767107751,0.11071371478611687,0.02581675,0.00858922,0.024404938283380452
65,internal,0.0013401239801131503,0.00278107434094,0.0034771811055810714,0.00294237,-0.00059866,0.00395330886350036
66,internal,0.003197344125608601,0.00692643399025,0.02085652390642615,0.0069636,-0.00032714,0.006740481183965445
67,internal,0.01318137598970341,0.00837771735089,0.04382557880679593,0.00849462,0.00072208,0.008601741244079792
68,internal,0.0038706072567097865,0.00827549034731,0.019826041656681646,0.00849127,0.00582271,0.007776910654401905
69,internal,0.09579536157383026,0.112826049892,0.08913704231074547,0.11098571,0.04089258,0.11105357874884227
70,internal,0.06034273002814213,0.111125662137,0.3950951660298148,0.11325909,0.02080401,0.10642435044069491
